Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series,State,District,Date of Challenge/Removal,Ban Status
Nineteen Minutes,"Picoult, Jodi",,,,,Arizona,Higley Unified School District,August 2024,Banned by Restriction
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Arizona,Higley Unified School District,August 2024,Banned by Restriction
#Pride: Championing LGBTQ Rights,"Felix, Rebecca",,,,#movements,Colorado,Elizabeth School District,August 2024,Banned
Beloved,"Morrison, Toni",,,,,Colorado,Elizabeth School District,August 2024,Banned
Burned (EH),"Hopkins, Ellen",,,,Burned,Colorado,Elizabeth School District,August 2024,Banned
Crank,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned
Fallout,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned
Glass,"Hopkins, Ellen",,,,Crank,Colorado,Elizabeth School District,August 2024,Banned
Identical,"Hopkins, Ellen",,,,,Colorado,Elizabeth School District,August 2024,Banned
"It's Your World - If You Don't Like It, Change It: Activism for Teenagers","Halpin, Mikki",,,,,Colorado,Elizabeth School District,August 2024,Banned
Looking for Alaska,"Green, John",,,,,Colorado,Elizabeth School District,August 2024,Banned
Melissa (George),"Gino, Alex",,,,,Colorado,Elizabeth School District,August 2024,Banned
Nineteen Minutes,"Picoult, Jodi",,,,,Colorado,Elizabeth School District,August 2024,Banned
Redwood and Ponytail,"Holt, K. A.",,,,,Colorado,Elizabeth School District,August 2024,Banned
Smoke,"Hopkins, Ellen",,,,Impulse,Colorado,Elizabeth School District,August 2024,Banned
The Bluest Eye,"Morrison, Toni",,,,,Colorado,Elizabeth School District,August 2024,Banned
The Hate U Give,"Thomas, Angie",,,,,Colorado,Elizabeth School District,August 2024,Banned
The Kite Runner,"Hosseini, Khaled",,,,,Colorado,Elizabeth School District,August 2024,Banned
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Colorado,Elizabeth School District,August 2024,Banned
Thirteen Reasons Why,"Asher, Jay",,,,,Colorado,Elizabeth School District,August 2024,Banned
You Should See Me in a Crown,"Johnson, Leah",,,,,Colorado,Elizabeth School District,August 2024,Banned
Ana on the Edge,"Sass, A. J.",,,,,Florida,Alachua County Public Schools,October 2024,Banned by Restriction
The Ship We Built,"Bean, Lexie",,,,,Florida,Alachua County Public Schools,October 2024,Banned by Restriction
"You Don’t Know Everything, Jilly P!","Gino, Alex",,,,,Florida,Alachua County Public Schools,October 2024,Banned Pending Investigation
A Thousand Splendid Suns,"Hosseini, Khaled",,,,,Florida,Bay District Schools,June 2025,Banned
Blood of my Blood,"Lyga, Barry",,,,I Hunt Killers,Florida,Bay District Schools,June 2025,Banned
Grim,"Johnson,Christine","Hopkins, Ellen; Hocking, Amanda; Kagawa, Julie; Gray, Claudia; Hawkins, Rachel, Derting, Kimberly; McEntire, Myra; Lo, Malinda; Rees-Brennan, Sarah; Pearce, Jackson; Ready, Jeri Smith; Hutchinson, Shaun David; Mitchell, Saundra; Gensler, Sonia; Gratton, Tessa; Skrovron, Jon",,,,Florida,Bay District Schools,June 2025,Banned
Into the Garden,"Andrews, V. C.",,,,Wildflowers,Florida,Bay District Schools,June 2025,Banned
The Human Stain,"Roth, Philip",,,,,Florida,Bay District Schools,June 2025,Banned
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Brevard Public Schools,July 2024,Banned
Breathless (JN),"Niven, Jennifer",,,,,Florida,Brevard Public Schools,March 2025,Banned
Damsel,"Arnold, Elana K.",,,,,Florida,Brevard Public Schools,August 2024,Banned
"Heartstopper, Vol. 1","Oseman, Alice",,,,Heartstopper,Florida,Brevard Public Schools,April 2025,Banned by Restriction
"Heartstopper, Vol. 2","Oseman, Alice",,,,Heartstopper,Florida,Brevard Public Schools,April 2025,Banned by Restriction
"Heartstopper, Vol. 3","Oseman, Alice",,,,Heartstopper,Florida,Brevard Public Schools,April 2025,Banned by Restriction
"Heartstopper, Vol. 4","Oseman, Alice",,,,Heartstopper,Florida,Brevard Public Schools,April 2025,Banned by Restriction
"Heartstopper, Vol. 5","Oseman, Alice",,,,Heartstopper,Florida,Brevard Public Schools,April 2025,Banned
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,Florida,Brevard Public Schools,July 2024,Banned
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Brevard Public Schools,March 2025,Banned
Out of Darkness,"Pérez, Ashley Hope",,,,,Florida,Brevard Public Schools,March 2025,Banned
People Kill People,"Hopkins, Ellen",,,,,Florida,Brevard Public Schools,August 2024,Banned
The Brief Wondrous Life of Oscar Wao,"Díaz, Junot",,,,,Florida,Brevard Public Schools,July 2024,Banned
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Brevard Public Schools,July 2024,Banned
The Haters,"Andrews, Jesse",,,,,Florida,Brevard Public Schools,July 2024,Banned
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Brevard Public Schools,July 2024,Banned
Wander in the Dark,"Emill, Jumata",,,,,Florida,Brevard Public Schools,April 2025,Banned
A Clash of Kings,"Martin, George R. R.",,,,A Song of Ice and Fire,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Broward County Public Schools,June 2025,Banned
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Broward County Public Schools,June 2025,Banned
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Broward County Public Schools,June 2025,Banned
A Sin Such As This,"Hopkins, Ellen",,,,Love Lies Beneath,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
A Stolen Life,"Dugard, Jaycee",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
All Your Perfects,"Hoover, Colleen",,,,Hopeless,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
American Psycho,"Ellis, Bret Easton",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Anatomy of a Boyfriend,"Snadowsky, Daria",,,,Anatomy,Florida,Broward County Public Schools,June 2025,Banned
And They Lived...,"Salvatore, Steven",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Beautiful,"Reed, Amy",,,,,Florida,Broward County Public Schools,June 2025,Banned
Beautiful Disaster,"McGuire, Jamie",,,,Beautiful,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Breathless (JN),"Niven, Jennifer",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Burned (EH),"Hopkins, Ellen",,,,Burned,Florida,Broward County Public Schools,June 2025,Banned by Restriction
Call Me By Your Name,"Aciman, André",,,,Call Me By Your Name,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Clockwork Orange,"Burgess, Anthony",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Collateral,"Hopkins, Ellen",,,,,Florida,Broward County Public Schools,June 2025,Banned
Crank,"Hopkins, Ellen",,,,Crank,Florida,Broward County Public Schools,June 2025,Banned by Restriction
Damsel,"Arnold, Elana K.",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Exit Here.,"Myers, Jason",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Forbidden,"Suzuma, Tabitha",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Forever for a Year,"Gottfred, B. T.",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Haunted,"Palahniuk, Chuck",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
Homegoing,"Gyasi, Yaa",,,,,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
House of Earth and Blood,"Maas, Sarah J.",,,,Crescent City,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
House of Sky and Breath,"Maas, Sarah J.",,,,Crescent City,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
I Am Jazz,"Jennings, Jazz",,,,,Florida,Broward County Public Schools,June 2025,Banned by Restriction
It Ends With Us,"Hoover, Colleen",,,,It Ends with Us,Florida,Broward County Public Schools,June 2025,Banned Pending Investigation
